title,description,link,domain
"Medellín, Colombia Metrocable","300,000 passengers daily, 60% time decrease in travel time to city center",https://www.centreforpublicimpact.org/case-study/urban-cable-car-medillincolombia,mobility
Curitiba Bus Rapid Transit System,"2 million passengers daily. $1.5 million per kilometer, compared to $100 million per kilometer for subway system",https://environmentaldocuments.com/embarq/Social-Environmental-Economic-Impacts-BRT-Bus-Rapid-Transit-EMBARQ.pdf,mobility
Riyadh public transportation,"Cost $22 billion, 9 million users expected users by 2028. Average revenue per user is expected to be 99.25 dollars. Capacity for about 1 million users daily (metro only not including buses)",https://www.statista.com/outlook/mmo/shared-mobility/public-transportation/saudi-arabia,mobility
Copenhagen Citywide Bicycle Infrastructure,"49% of all commutes are by bike, annual savings of $44 million in health costs",https://www.wonderfulcopenhagen.com/wonderful-copenhagen/international-press/bicycle-friendly-copenhagen,mobility
Vienna Active Transportation Campaigns,30% increase in daily walking and cycling trips. Reduction in obesity rates by 5%.,https://smartcity.wien.gv.at/wp-content/uploads/sites/3/2022/05/scwr_klima_2022_web-EN.pdf,mobility
