title,description,link,domain
Cheonggyecheon Stream Restoration,"35% reduction in pollution, 50% increase in property value.",https://www.seoulsolution.kr/en/content/seoul-urban-regeneration-cheonggyecheon-restoration-and-downtown-revitalization,environment
"Paris, Vélib' Bike Share Program","100,000 daily rides. 32,330 tons of CO2 emissions saved annually.",https://digitalcommons.usf.edu/jpt/vol12/iss4/3/,environment
London Pocket Parks Program (Green Spaces),100 pocket parks created. Increased local property values by up to 8%.,https://www.london.gov.uk/who-we-are/what-london-assembly-does/questions-mayor/find-an-answer/pocket-parks-3,environment
Barcelona Superblocks Initiative,20% reduction in NO2 levels within superblocks. Increased public space per resident from 1.85 m to 6.65 m. 5-10 decibel decrease in noise pollution. 30% increase interaction among residents.,https://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/en_gb_MESURA%20GOVERN%20SUPERILLES.pdf,environment
Medellín's Green Corridors,"Temperature drops of up to 2°C in some areas. Airborne particulate matter (PM10) levels have decreased by around 7%. Social, economic, and cultural impacts observed.",https://www.bbc.com/future/article/20230922-how-medellin-is-beating-the-heat-with-green-corridors,environment
